light_phase,network,block,treatment,day,time,location,focal_individual,behaviour,social_partner,partner_response,notes,,,,,,,,,,,
dark,1,1,twelve,1,2:32 PM,6,.0,Enter 6,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:33 PM,Feeder,7.,Feeding,N/A,,Feeding again,,,,,,,,,,,
dark,1,1,twelve,1,2:35 PM,Feeder,.1,Mount,7.,Continued feeding,,,,,,,,,,,,
dark,1,1,twelve,1,2:37 PM,Open,.1,Mount ,:1,,,,,,,,,,,,,
dark,1,1,twelve,1,2:38 PM,Feeder,1:,Feeding,N/A,,Feeding again,,,,,,,,,,,
dark,1,1,twelve,1,2:41 PM,7,.5,Left 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:42 PM,Open,.7,Mating,8.,,,,,,,,,,,,,
dark,1,1,twelve,1,2:43 PM,7,.1,Left 7,.1,,,,,,,,,,,,,
dark,1,1,twelve,1,2:44 PM,9,1:,Enter 9,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:49 PM,7,6.,Exit 6,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:06 PM,Open,.1,Mating,5.,Walking around,,,,,,,,,,,,
dark,1,1,twelve,1,3:07 PM,12,6.,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:08 PM,4,1:,Exit 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:08 PM,10,1:,Enter 10,.8,,,,,,,,,,,,,
dark,1,1,twelve,1,3:08 PM,8,.2,Move within 8,.3,,,,,,,,,,,,,
dark,1,1,twelve,1,3:09 PM,10,8.,Mount,1:,Pushed against wall,,,,,,,,,,,,
dark,1,1,twelve,1,3:10 PM,11,7.,Enter 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:11 PM,12,6.,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:13 PM,10,.8,Move within 10,1:,,,,,,,,,,,,,
dark,1,1,twelve,1,3:15 PM,Open,?,Bump,6.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:16 PM,4,:0,Enter 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:16 PM,7,8.,Left 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:18 PM,8,.1,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:20 PM,12,8.,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:20 PM,7,:1,Move within 7,N/A,No longer with .5,,,,,,,,,,,,
dark,1,1,twelve,1,3:23 PM,4,:0,Left 4,N/A,was touched by 9. and ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:24 PM,7,:1,Move within 7,.5,,,,,,,,,,,,,
dark,1,1,twelve,1,3:28 PM,2,7.,Enter 2,3.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:30 PM,2,.9,Mount,3.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:31 PM,2,.9,Exit 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:31 PM,2,3.,Exit 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:31 PM,Outside 7,.6,Mating,0.,Walking around,,,,,,,,,,,,
dark,1,1,twelve,1,3:33 PM,1,.9,Mount,2.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:33 PM,Open,.3,Mating,8.,Walking around,,,,,,,,,,,,
dark,1,1,twelve,1,3:34 PM,12,6.,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:35 PM,11,2.,Enter 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:35 PM,8,3.,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:36 PM,8,:0,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:37 PM,Open,.3,Mount,9.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:37 PM,11,9. ,Enter 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:35 PM,11,.0,Enter 11,2.,,,,,,,,,,,,,
dark,1,1,twelve,1,3:39 PM,11,.0,Exit 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:40 PM,12,6.,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:40 PM,12,3.,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:41 PM,12,:1,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:41 PM,8,.9,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:42 PM,8,.9,Mount,.1,Moved away,,,,,,,,,,,,
dark,1,1,twelve,1,3:43 PM,8,.1,Move within 8,.2,,,,,,,,,,,,,
dark,1,1,twelve,1,3:43 PM,8,.9,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:43 PM,8,:0,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,3:44 PM,10,:0,Enter 9,".8, 1:",,,,,,,,,,,,,
dark,1,1,twelve,1,3:46 PM,Open,.9,Mount,0.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,3:47 PM,10,.8,Move within 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:06 PM,12,3.,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:07 PM,8,6.,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:08 PM,9,.2,Move within 9,.7,,,,,,,,,,,,,
dark,1,1,twelve,1,4:10 PM,10,.5,Move within 10,":0, 9., .9, 1:",Joined the big aggregation,,,,,,,,,,,,
dark,1,1,twelve,1,4:10 PM,10,.9,Move within 10,N/A,Left the big aggregation,,,,,,,,,,,,
dark,1,1,twelve,1,4:11 PM,10,.5,Mount,.9,Left big aggregation,,,,,,,,,,,,
dark,1,1,twelve,1,4:12 PM,10,.9,Exit 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:12 PM,7,.9,Enter 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:13 PM,7,.9,Mount,8.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,4:13 PM,7,8.,Exit 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:16 PM,Open,.1,Mount,7.,,,,,,,,,,,,,
dark,1,1,twelve,1,4:18 PM,10,?,Enter 10,"3., 9., 1:",,,,,,,,,,,,,
dark,1,1,twelve,1,4:20 PM,10,0:,Move within 10,.8,,,,,,,,,,,,,
dark,1,1,twelve,1,4:21 PM,10,9.,Move within 10,.8 and 0:,Left 1: and 3.,,,,,,,,,,,,
dark,1,1,twelve,1,4:27 PM,8,7.,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:31 PM,8,:0,Mount ,9.,Both ran away and exited 10,,,,,,,,,,,,
dark,1,1,twelve,1,4:31 PM,8,:0,Mount ,3.,Both ran away and exited 10,,,,,,,,,,,,
dark,1,1,twelve,1,4:34 PM,5,.5,Enter 5,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:35 PM,2,9.,Enter 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:35 PM,5,.5,Exit 5,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:36 PM,5,.6,Exit 5,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:36 PM,2,9.,Exit 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:36 PM,7,9.,Enter 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:36 PM,7,9.,Exit 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:37 PM,12,7.,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:38 PM,10,.5,Enter 5,".8, 3., 1:",,,,,,,,,,,,,
dark,1,1,twelve,1,4:40 PM,3,9.,Enter 3,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:41 PM,10,.5,Move within 10,N/A,No longer with anyone,,,,,,,,,,,,
dark,1,1,twelve,1,4:42 PM,10,:0,Exit 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:42 PM,11,:0,Enter 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:43 PM,11,:0,Exit 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:45 PM,8,.5,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:47 PM,7,9.,Enter 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,4:49 PM,9,2.,Mount,6.,,,,,,,,,,,,,
dark,1,1,twelve,1,4:49 PM,9,8.,Enter 9,2. and .7,,,,,,,,,,,,,
dark,1,1,twelve,1,4:50 PM,9,.2,Exit 9,N/A,,,,,,,,,,,,,
dark,1,1,twelve,2,10:12 AM,12,5. ,move within shelter,"away from 1. , 0:, unknown",N/A,,,,,,,,,,,,
dark,1,1,twelve,2,10:16 AM,2,.4 ,move within shelter,moved towards .6,N/A,.4 and .6 now in contact ,,,,,,,,,,,
dark,1,1,twelve,2,10:22 AM,12,5.,exit shelter ,N/A,N/A,,,,,,,,,,,,
