,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
108,dark,1,1,twelve,3,12:24 PM,44640.00,60.40,10,C,mating,O,N/A,,O
109,dark,1,1,twelve,3,12:35 PM,45300.00,60.58,Open,E,mount,Q,N/A,4. Likely dead or messed up,Q
110,dark,1,1,twelve,3,12:41 PM,45660.00,60.68,Open,E,mount,U,Ran away,,U
111,dark,1,1,twelve,3,12:47 PM,46020.00,60.78,Open,K,mount,R,Ran away,,R
112,dark,1,1,twelve,3,1:27 PM,48420.00,61.45,Feeder,G,mating,U,Ran and entered 8,.0 tried to get on top too abd caused 6. to dismount,U
113,dark,1,1,twelve,3,1:29 PM,48540.00,61.48,8,A,mount,U,Running away,,U
114,dark,1,1,twelve,3,1:31 PM,48660.00,61.52,8,A,mount,L,N/A,,L
115,dark,1,1,twelve,3,1:40 PM,49200.00,61.67,Open,F,mount,L,Ran away,,L
116,dark,1,1,twelve,3,1:53 PM,49980.00,61.88,7,E,mount,G,N/A,,G
117,dark,1,1,twelve,3,2:04 PM,50640.00,62.07,Open,H,mount,X,Ran away,,X
118,dark,1,1,twelve,3,2:11 PM,51060.00,62.18,8,I,mount,N,Ran away into :0 who mounted her ,,N
119,dark,1,1,twelve,3,2:12 PM,51120.00,62.20,8,K,mount,N,Ran away,,N
120,dark,1,1,twelve,3,2:19 PM,51540.00,62.32,9,I,mount,U,Ran away and pinched against wall,,U
121,dark,1,1,twelve,3,2:25 PM,51900.00,62.42,7,E,mount,S,Ran away and out of shelter,,S
122,dark,1,1,twelve,3,2:25 PM,51900.00,62.42,7,E,mount,L,Ran away,,L
123,dark,1,1,twelve,3,2:30 PM,52200.00,62.50,7,L,mount,M,Ran away,,M
124,dark,1,1,twelve,3,2:39 PM,52740.00,62.65,3,B,mating,U,N/A,,U
125,dark,1,1,twelve,3,2:40 PM,52800.00,62.67,10,D,mount,X,Ran away and into 11,,X
126,dark,1,1,twelve,3,2:44 PM,53040.00,62.73,7,L,mount,S,Pressed against wall,,S
127,dark,1,1,twelve,3,2:45 PM,53100.00,62.75,7,L,mount,S,Still firmly pressed against wall,,S
128,dark,1,1,twelve,3,2:47 PM,53220.00,62.78,11,F,mating,X,Pressed against wall,"Pinched into corner, hard to tell if this was a successful mating but it did last >30 seconds",X
129,dark,1,1,twelve,3,3:05 PM,54300.00,63.08,3,B,mount,U,Pressed against wall,,U
130,dark,1,1,twelve,3,3:05 PM,54300.00,63.08,3,B,mount,U,Ran away,Pressed against another wall,U
131,dark,1,1,twelve,3,3:09 PM,54540.00,63.15,9,K,mount,I,N/A,:0 got off really quickly,I
132,dark,1,1,twelve,3,3:11 PM,54660.00,63.18,Open,I,mount,L,Ran away,,L
133,dark,1,1,twelve,3,3:12 PM,54720.00,63.20,Open,J,mount,K,Ran away,,K
134,dark,1,1,twelve,3,3:16 PM,54960.00,63.27,Open,K,mount,N,Pinched against arena wall then ran away,,N
135,dark,1,1,twelve,3,3:19 PM,55140.00,63.32,Outside 9,H,mount,W,Ran away,,W
